api-ms-win-shcore-registry-l1-1-1.dll,shcore.dll
api-ms-win-shcore-scaling-l1-1-2.dll,shcore.dll
api-ms-win-shcore-stream-l1-1-0.dll,shcore.dll
api-ms-win-shcore-stream-winrt-l1-1-0.dll,shcore.dll
api-ms-win-shcore-sysinfo-l1-1-0.dll,shcore.dll
api-ms-win-shcore-taskpool-l1-1-0.dll,shcore.dll
api-ms-win-shcore-thread-l1-1-0.dll,shcore.dll
api-ms-win-shcore-unicodeansi-l1-1-0.dll,shcore.dll
api-ms-win-shell-associations-l1-1-1.dll,windows.storage.dll
api-ms-win-shell-changenotify-l1-1-0.dll,windows.storage.dll
api-ms-win-shell-dataobject-l1-1-0.dll,windows.storage.dll
api-ms-win-shell-namespace-l1-1-0.dll,windows.storage.dll
api-ms-win-shell-shdirectory-l1-1-0.dll,shcore.dll
api-ms-win-shell-shell32legacy-shdirectory-l1-1-0.dll,
api-ms-win-shell-shellcom-l1-1-0.dll,kernelbase.dll
api-ms-win-shell-shellfolders-l1-1-0.dll,windows.storage.dll
api-ms-win-shlwapi-ie-l1-1-0.dll,shlwapi.dll
api-ms-win-shlwapi-winrt-storage-l1-1-1.dll,shlwapi.dll
api-ms-win-stateseparation-helpers-l1-1-0.dll,kernelbase.dll
api-ms-win-storage-exports-external-l1-1-1.dll,windows.storage.dll
api-ms-win-storage-exports-internal-l1-1-0.dll,windows.storage.dll
api-ms-win-winrt-search-folder-l1-1-0.dll,windows.storage.search.dll
api-ms-win-wsl-api-l1-1-0.dll,wslapi.dll
ext-ms-mf-pal-l2-1-1.dll,
ext-ms-net-eap-sim-l1-1-0.dll,eapsimextdesktop.dll
ext-ms-net-vpn-soh-l1-1-0.dll,vpnsohdesktop.dll
ext-ms-onecore-appchromeapi-l1-1-0.dll,
ext-ms-onecore-appdefaults-l1-1-0.dll,windows.storage.dll
ext-ms-onecore-appmodel-emclient-l1-1-0.dll,
ext-ms-onecore-appmodel-emsvcs-l1-1-0.dll,
ext-ms-onecore-appmodel-pacmanclient-l1-1-0.dll,
ext-ms-onecore-appmodel-staterepository-cache-l1-1-2.dll,windows.staterepositorycore.dll
ext-ms-onecore-appmodel-staterepository-internal-l1-1-4.dll,windows.staterepositoryclient.dll
ext-ms-onecore-appmodel-tdlmigration-l1-1-1.dll,tdlmigration.dll
ext-ms-onecore-comp-dwmmonitor-l1-1-0.dll,
ext-ms-onecore-dcomp-l1-1-0.dll,dcomp.dll
ext-ms-onecore-defaultdiscovery-l1-1-0.dll,
ext-ms-onecore-hcap-svf-l1-1-0.dll,svf.dll
ext-ms-onecore-hlink-l1-1-0.dll,hlink.dll
